timestamp,tweet_text,username,all_hashtags,followers_count
2020-03-26 12:55:25,b'#italia #italy #italie #italien #COVID19 #COVID2019 #COVID19italia #coronavirus #coronavirusitalia #CoronaVirusitaly #covid19italy #italexit #QAnons  Italians  asking  for  50 euro cos they have no more moneys and government not helping citizens https://t.co/kjNvtEAfUj',b'geg93626969',"['italia', 'italy', 'italie', 'italien', 'COVID19', 'COVID2019', 'COVID19italia', 'coronavirus', 'coronavirusitalia', 'CoronaVirusitaly', 'covid19italy', 'italexit', 'QAnons']",49
2020-03-26 12:44:18,b'The perfect T-Rex anti-#coronavirus costume. Lately more and more dinosaurs have appeared on our streets during quarantine!  #Corona #COVID #CoronaVirusUpdate #COVID19italia #StayAtHome #lockdown #CoronavirusPandemic #Koronovirus #Korona #CoronaVirusUpdates #Italia #staysafe https://t.co/PxB4ivVpej',b'FarukFirat1987',"['coronavirus', 'Corona', 'COVID', 'CoronaVirusUpdate', 'COVID19italia', 'StayAtHome', 'lockdown', 'CoronavirusPandemic', 'Koronovirus', 'Korona', 'CoronaVirusUpdates', 'Italia', 'staysafe']",954
2020-03-26 12:32:23,"b""In Italy's hour of need it is Russia (not in EU) which helps Italy. Not the EU. The EU really is a disgusting organisation. Italy should leave the EU. (#CoronaVirusLockdown #CoronaVirusLockdownUK #CoronaVirus #CoronaOut #COVID #Covid19Out #CoVid19UK #LatestNews #Italia #Notizia) https://t.co/o2Y5Ocadq3""",b'BrexitLondon',"['CoronaVirusLockdown', 'CoronaVirusLockdownUK', 'CoronaVirus', 'CoronaOut', 'COVID', 'Covid19Out', 'CoVid19UK', 'LatestNews', 'Italia', 'Notizia']",19891
2020-03-26 12:27:29,"b""In Italy's hour of need it is Russia (not in the EU) which helps Italy. Not the EU. The EU really is a disgusting organisation. Italy should leave the EU. (#Italy #Italia #News #Notizia) (#Quitaly #Italexit) (#CoronaVirus #CoronaVirusItaly #CoronaVirusItalia) https://t.co/o2Y5Ocadq3""",b'BrexitLondon',"['Italy', 'Italia', 'News', 'Notizia', 'Quitaly', 'Italexit', 'CoronaVirus', 'CoronaVirusItaly', 'CoronaVirusItalia']",19891
2020-03-26 12:24:09,b'\xf0\x9f\x98\xad\xf0\x9f\x8e\xbbThe violins of the whole world cry with you in such painful moments. We love you Cremonese and accompany you in these painful moments. \xf0\x9f\x92\x95  #Cremona #Coronavirus #Italia #Lombardia #violino @laprovinciacr @Cremonaoggi @CremonaoggiLive https://t.co/8XTNm7jKdJ',b't0mi1k',"['Cremona', 'Coronavirus', 'Italia', 'Lombardia', 'violino']",39
2020-03-26 12:15:29,"b'#BREAKING: Russian military convoy in Rome, on the way to Bergamo, #Italy  #coronavirus #Corona #COVID #COVID\xe3\x83\xbc19 #COVID19 #CoronaVirusUpdate #coronapocalypse #CoronaVirusDE #COVID19italia #StayAtHome #lockdown #CoronavirusPandemic #Koronovirus #Korona #CoronaVirusUpdates #Italia https://t.co/7Sg0yTeNtV'",b'FarukFirat1987',"['BREAKING', 'Italy', 'coronavirus', 'Corona', 'COVID', 'COVIDー19', 'COVID19', 'CoronaVirusUpdate', 'coronapocalypse', 'CoronaVirusDE', 'COVID19italia', 'StayAtHome', 'lockdown', 'CoronavirusPandemic', 'Koronovirus', 'Korona', 'CoronaVirusUpdates', 'Italia']",954
2020-03-26 12:08:12,b'How an Italian start-up turned snorkelling masks into ventilators  #technology #startup #3Dprinting #COVID19 #coronavirus #italy #Italia @ISINNOVA @decathalon  https://t.co/Qi6XDjIg0B via @TheNationalUAE',b'MDerhally',"['technology', 'startup', '3Dprinting', 'COVID19', 'coronavirus', 'italy', 'Italia']",482
2020-03-26 11:17:07,"b""Think of others. Don't leave your house unless you absolutely have to. Listen to the scientists. Wash your hands.  The longer we screw around, the longer we will be in lockdown.  #coronavirus #italia #COVID19 #stayathome""",b'lizmetzrugrat',"['coronavirus', 'italia', 'COVID19', 'stayathome']",11
2020-03-26 11:03:01,b'2.2.  2.1.  COVID19 &amp; Germany ! .  [ #COVID19 #CoronaVirus ]  #Coronavirusgermany #Germany...#covid19UK #Covid19usa #USA #NewYorkCity  #NewYorkCoronavirus #EU #Italia  (@GiuseppeConteIT @Palazzo_Chigi @DPCgov ) #China  #Russia #Cuba #SouthKorea #Schweiz \xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f https://t.co/tkvvS0GvdC',b'pizzaital',"['COVID19', 'CoronaVirus', 'Coronavirusgermany', 'Germany', 'covid19UK', 'Covid19usa', 'USA', 'NewYorkCity', 'NewYorkCoronavirus', 'EU', 'Italia', 'China', 'Russia', 'Cuba', 'SouthKorea', 'Schweiz']",3762
2020-03-26 10:59:37,b'2.1.  COVID19 &amp; Germany ! .  [ #COVID19 #CoronaVirus ]  #Coronavirusgermany #Germany...#covid19UK #Covid19usa #USA #NewYorkCity  #NewYorkCoronavirus #EU #Italia  (@GiuseppeConteIT @Palazzo_Chigi @DPCgov ) #China  #Russia #Cuba #SouthKorea #Schweiz https://t.co/ViSUfCMmXf',b'pizzaital',"['COVID19', 'CoronaVirus', 'Coronavirusgermany', 'Germany', 'covid19UK', 'Covid19usa', 'USA', 'NewYorkCity', 'NewYorkCoronavirus', 'EU', 'Italia', 'China', 'Russia', 'Cuba', 'SouthKorea', 'Schweiz']",3762
2020-03-26 10:52:03,"b'In #Bergamo, the mayor says, the morgues are full and the numbers of dead are underestimated.  #Italia #Italy #coronavirus  #StayAtHome #restezchezvous    https://t.co/N2StGFIsPp'",b'ET_Id883_1',"['Bergamo', 'Italia', 'Italy', 'coronavirus', 'StayAtHome', 'restezchezvous']",566
2020-03-26 10:40:06,"b'Italia  #italy, #palazzochigi, #governo, #bandiera, #tricolore, #emergenza, #coronavirus, #italia https://t.co/tZlkgkmAhi'",b'gennaroleonardi',"['italy', 'palazzochigi', 'governo', 'bandiera', 'tricolore', 'emergenza', 'coronavirus', 'italia']",119
2020-03-26 10:39:25,b'@Agenzia_Ansa When you greet a relative who goes to the hospital and you see him again in an urn  #Italy #Italia #coronavirus #CoronaVirusItaly #CoronaVirusItalia #COVID19 #COVID\xe3\x83\xbc19 #Covid_19 #COVID2019',b'Geo_AfterWorld',"['Italy', 'Italia', 'coronavirus', 'CoronaVirusItaly', 'CoronaVirusItalia', 'COVID19', 'COVIDー19', 'Covid_19', 'COVID2019']",202
2020-03-26 10:21:20,b'2/  #Professor Dr. Walter #Veith from South-#Africa... Die #Corona - #Agenda... [#COVID19 #CoronaVirus]  (@GiuseppeConteIT @Palazzo_Chigi) #Italia #China #Cuba #Russia #UK  #Schweiz #EU... #Deutschland #journalists #Journalisten  \xe2\x80\xa2 #Video- #link Tweet 1 \xe2\xac\x86\xef\xb8\x8f https://t.co/h9wi9fR8y3',b'pizzaital',"['Professor', 'Veith', 'Africa', 'Corona', 'Agenda', 'COVID19', 'CoronaVirus', 'Italia', 'China', 'Cuba', 'Russia', 'UK', 'Schweiz', 'EU', 'Deutschland', 'journalists', 'Journalisten', 'Video', 'link']",3762
2020-03-26 10:15:18,"b'#CoronavirusPandemic in #Italy: 75,000 cases and almost 7,500 deaths.  #Coronavirus #photography #koronavirus #Covid19 #CoronaOutbreak #SocialDistancing #Italia #korona #health #stayhome #stayhomesavelives https://t.co/jVWRtSPxzO'",b'TravelWithXtina',"['CoronavirusPandemic', 'Italy', 'Coronavirus', 'photography', 'koronavirus', 'Covid19', 'CoronaOutbreak', 'SocialDistancing', 'Italia', 'korona', 'health', 'stayhome', 'stayhomesavelives']",8049
2020-03-26 10:11:35,"b'#Conte: ""Virus is like the wind blowing."" #COVID2019 #coronavirus #Italia https://t.co/GJANHLvZcq'",b'Melaion',"['Conte', 'COVID2019', 'coronavirus', 'Italia']",2246
2020-03-26 09:57:34,b'My spanjol ( Spanish friends what she says when that full &amp; idiots stopping her to talk ?   Video of a very gorgeous girl \xf0\x9f\x91\xa7 num num!   #Spania #italia #coronavirus who make everyone supper flop !  Hollywood becomes the biggest loser here .. also Bollywood who making many fake \xf0\x9f\x8e\xa5 https://t.co/DBRPynlJUX',b'ZAM90s',"['Spania', 'italia', 'coronavirus']",37
2020-03-26 09:39:45,b'The Maldives Travel Video #COVID #TRAVEL #COVID19 #travelfabrics #italy #travelle #CoronavirusPandemic #travelsocialclub #covid19italy #travelmasti #coronavirus #travelgermany #CoronavirusOutbreak #travellersquere #coronaviruschina #COVID #COVID19 #italia #italy #CoronaInfoCH',b'julycio',"['COVID', 'TRAVEL', 'COVID19', 'travelfabrics', 'italy', 'travelle', 'CoronavirusPandemic', 'travelsocialclub', 'covid19italy', 'travelmasti', 'coronavirus', 'travelgermany', 'CoronavirusOutbreak', 'travellersquere', 'coronaviruschina', 'COVID', 'COVID19', 'italia', 'italy', 'CoronaInfoCH']",4
2020-03-26 09:37:31,"b""'Why so many infections and deaths in northern #Italy, beyond old age?' 'For poisons in the air and in the environment. It's the most industrialized and therefore most polluted area in Italy'  #Italia #coronavirus #COVID19 #COVID\xe3\x83\xbc19 #Covid_19 #COVID2019  https://t.co/OxDpPA77Bg""",b'Geo_AfterWorld',"['Italy', 'Italia', 'coronavirus', 'COVID19', 'COVIDー19', 'Covid_19', 'COVID2019']",202
2020-03-26 08:11:33,"b'Beware #Italia, #China is trying to shift the origin of #coronavirus from #Wuhan to #Lombardia, #Italy. Claiming that #CoronavirusOutbreak started early on 1 Jan 2020.  #COVID19it #covid19italy https://t.co/Kmwrpp2et9'",b'loveiseasyas123',"['Italia', 'China', 'coronavirus', 'Wuhan', 'Lombardia', 'Italy', 'CoronavirusOutbreak', 'COVID19it', 'covid19italy']",71
2020-03-26 07:51:28,"b""'There are luminous examples of #generosity, which bring to my mind the #heroism &amp; #holiness of Father #MaximilianKolbe. There are also terrible stories of the \xe2\x80\x9cside-effects\xe2\x80\x9d of #COVID...' https://t.co/y2GEl3Zdtd #Italia #Italy #WorldNews #Coronavirus #COVID2019 #COVID19Italia""",b'mercatornet',"['generosity', 'heroism', 'holiness', 'MaximilianKolbe', 'COVID', 'Italia', 'Italy', 'WorldNews', 'Coronavirus', 'COVID2019', 'COVID19Italia']",2501
2020-03-26 07:24:45,"b'""It has become evident that those who do not pay taxes do not only commit a felony but also a crime: if there are not enough hospital beds and artificial respirators, it is also their fault,"" #EconTwitter #COVID2019 #coronavirus #HealthNow #healthcare #Italia #ItalyCoronavirus https://t.co/WGZyjgubKo'",b'MosconeF',"['EconTwitter', 'COVID2019', 'coronavirus', 'HealthNow', 'healthcare', 'Italia', 'ItalyCoronavirus']",1569
2020-03-26 07:18:40,b'Good news from my good friend re #coronavirus #Italia #Italy #koronavirus #koronafi https://t.co/Uj7EhAXhcG',b'YrjoAho',"['coronavirus', 'Italia', 'Italy', 'koronavirus', 'koronafi']",873
2020-03-26 07:02:57,b'#Coronavirus cases in #Italy #CoronavirusOutbreak 20/02 - 4 25/02 - 323 01/03 - 1.701 05/03 - 3.858 10/03 - 10.149 15/03 - 24.747 20/03 - 47.021 25/03 - 74.386 #CoronavirusPandemic #COVID\xe3\x83\xbc19 #Covid_19 #CoronaVirusUpdate #COVID2019 #CoronaVirusitaly #Italia',b'ANTIYLH',"['Coronavirus', 'Italy', 'CoronavirusOutbreak', 'CoronavirusPandemic', 'COVIDー19', 'Covid_19', 'CoronaVirusUpdate', 'COVID2019', 'CoronaVirusitaly', 'Italia']",6079
2020-03-26 06:30:15,"b""@realDonaldTrump And.. Maybe we'll be the FIRST to come out.. \xf0\x9f\x87\xae\xf0\x9f\x87\xaa #COVID19 #coronavirus #Italia https://t.co/e1Ne8sBUtX""",b'VespaioIl',"['COVID19', 'coronavirus', 'Italia']",54
2020-03-26 06:08:06,b'Quarantine days \xf0\x9f\x98\xb7 #coronavirus #emergency #staysafe #ifyoucan #stop #virus #stayathome #mask #clean #tuttoandr\xc3\xa0bene #forse #shion81 #thesweetway #forza #italia #iononesco #oroscopo\xe2\x80\xa6 https://t.co/ReQK6WkT9w',b'CultEvent_tweet',"['coronavirus', 'emergency', 'staysafe', 'ifyoucan', 'stop', 'virus', 'stayathome', 'mask', 'clean', 'tuttoandràbene', 'forse', 'shion81', 'thesweetway', 'forza', 'italia', 'iononesco', 'oroscopo']",129
2020-03-26 05:39:42,b'#coronavirus situation in #Italy now  Thank you #Cuba doctors. #italystaystrong   #CoronavirusLockdown #COVID2019 #COVID #ChineseVirus #covid19australia #coronavirusitalie #Italia #coronavirussweden #CoronavirusNewYork #USA #Covid19usa #CoronavirusOutbreak #pandemia #COVID2019 https://t.co/YDUGZAwnlN',b'SciAeon',"['coronavirus', 'Italy', 'Cuba', 'italystaystrong', 'CoronavirusLockdown', 'COVID2019', 'COVID', 'ChineseVirus', 'covid19australia', 'coronavirusitalie', 'Italia', 'coronavirussweden', 'CoronavirusNewYork', 'USA', 'Covid19usa', 'CoronavirusOutbreak', 'pandemia', 'COVID2019']",208
2020-03-26 05:23:09,"b'Stay @ Home, Stay Safe, Stay Healthy. . . . Avail Our Services @ https://t.co/Sz7IpAGSAK . . . Like share Follow @ https://t.co/5hIsKRADD5 . . . #covid #coronavirus #corona #virus #wuhan #china #rus #coronav #coronavirusoutbreak #s #viruscorona #ncov #italia #pandemic https://t.co/5iUbu7xrVr'",b'Dropshipping4u1',"['covid', 'coronavirus', 'corona', 'virus', 'wuhan', 'china', 'rus', 'coronav', 'coronavirusoutbreak', 's', 'viruscorona', 'ncov', 'italia', 'pandemic']",23
2020-03-26 04:09:02,b'#Nevada Gov #SteveSisolak is a grandstanding idiot.  Closes #casinos arbitrary 30 days.  Bans doctors prescribing #Coronavirus #drugs.  #Brazil #MAGA #Trump #COVID\xe3\x83\xbc19 #Trump2020  #MeToo\xc2\xa0 #China #Italia #Italy #Russia #France #NYC #travel #news #Spain #US  https://t.co/UxC6yE6rfc',b'TruthAndJust1',"['Nevada', 'SteveSisolak', 'casinos', 'Coronavirus', 'drugs', 'Brazil', 'MAGA', 'Trump', 'COVIDー19', 'Trump2020', 'MeToo', 'China', 'Italia', 'Italy', 'Russia', 'France', 'NYC', 'travel', 'news', 'Spain', 'US']",1162
2020-03-26 03:54:52,b'Italian nurse commits suicide as another 683 people die from #coronavirus. #COVID19  #Covid_19 #\xe0\xb9\x82\xe0\xb8\x84\xe0\xb8\xa7\xe0\xb8\xb4\xe0\xb8\x9719 #COVID\xe3\x83\xbc19 #StayHome #Italia #Italy https://t.co/Q54R8GEApj https://t.co/Lji6LtyyDL',b'asia_bulletin',"['coronavirus', 'COVID19', 'Covid_19', 'โควิท19', 'COVIDー19', 'StayHome', 'Italia', 'Italy']",747
2020-03-26 03:49:07,b'Hotels in Attingal | Hotel Savithri https://t.co/zbNtbwYdUF #HotelsInAttingal #Hotels_in_Attingal #corona #coronavirus #virus #china #viruscorona #kerala #coronainkerala #COVID19  #coronav #coronavirusoutbreak #italia #coronavir #Lockdown21 #epidemic #health #wuhancoronavirus https://t.co/luvcq2e7Ga',b'HotelSavithri',"['HotelsInAttingal', 'Hotels_in_Attingal', 'corona', 'coronavirus', 'virus', 'china', 'viruscorona', 'kerala', 'coronainkerala', 'COVID19', 'coronav', 'coronavirusoutbreak', 'italia', 'coronavir', 'Lockdown21', 'epidemic', 'health', 'wuhancoronavirus']",19
2020-03-26 03:36:34,"b'WATCH:    Based on available evidence, children are also at higher risk for #coronavirus   Video From #iran  &amp; other countries shows children are also dying from #COVID\xe3\x83\xbc19 #virus .   #BREAKING #school #covid19australia #CoronavirusLockdown #corona #virus #italy #italia #FRANCE https://t.co/3kEIIBrdpA'",b'kurdistannews24',"['coronavirus', 'iran', 'COVIDー19', 'virus', 'BREAKING', 'school', 'covid19australia', 'CoronavirusLockdown', 'corona', 'virus', 'italy', 'italia', 'FRANCE']",13115
2020-03-26 02:35:00,b'Beautiful sunset in Greece! Travel #COVID #TRAVEL #COVID19 #travelfabrics #China #travelle #wuhan #travelsocialclub #\xe5\x86\xa0\xe7\x8a\xb6\xe7\x97\x85\xe6\xaf\x92 #travelmasti #coronavirus #travelgermany #CoronavirusOutbreak #travellersquere #coronaviruschina #italia #italy #italie #italien',b'julycio',"['COVID', 'TRAVEL', 'COVID19', 'travelfabrics', 'China', 'travelle', 'wuhan', 'travelsocialclub', '冠状病毒', 'travelmasti', 'coronavirus', 'travelgermany', 'CoronavirusOutbreak', 'travellersquere', 'coronaviruschina', 'italia', 'italy', 'italie', 'italien']",4
2020-03-26 02:33:34,b'Lake Brienz Switzerland Travel #COVID19 #travelfabrics #China #travelle #wuhan #travelsocialclub #\xe5\x86\xa0\xe7\x8a\xb6\xe7\x97\x85\xe6\xaf\x92 #travelmasti #coronavirus #travelgermany #CoronavirusOutbreak #travellersquere #coronaviruschina #italia #italy #italie #italien #CoronaInfoCH #coronavirusEspana',b'julycio',"['COVID19', 'travelfabrics', 'China', 'travelle', 'wuhan', 'travelsocialclub', '冠状病毒', 'travelmasti', 'coronavirus', 'travelgermany', 'CoronavirusOutbreak', 'travellersquere', 'coronaviruschina', 'italia', 'italy', 'italie', 'italien', 'CoronaInfoCH', 'coronavirusEspana']",4
2020-03-26 02:31:30,b'Switzerland Travel #COVID #TRAVEL #COVID19 #travelfabrics #italy #travelle #CoronavirusPandemic #travelsocialclub #covid19italy #travelmasti #coronavirus #travelgermany #CoronavirusOutbreak #travellersquere #coronaviruschina #italia #italy #italie #italien',b'julycio',"['COVID', 'TRAVEL', 'COVID19', 'travelfabrics', 'italy', 'travelle', 'CoronavirusPandemic', 'travelsocialclub', 'covid19italy', 'travelmasti', 'coronavirus', 'travelgermany', 'CoronavirusOutbreak', 'travellersquere', 'coronaviruschina', 'italia', 'italy', 'italie', 'italien']",4
2020-03-26 02:28:12,"b'2/  Based on available evidence, children are also at higher risk for #coronavirus  Video From iran  shows #children are not safe from COVID-19   #BREAKING #school #covid19australia #CoronavirusLockdown #corona #virus #italy #italia #FRANCE  #america  #WHO @WHO #COVID2019   #NEWS https://t.co/IK3UWqmFVQ'",b'kurdistannews24',"['coronavirus', 'children', 'BREAKING', 'school', 'covid19australia', 'CoronavirusLockdown', 'corona', 'virus', 'italy', 'italia', 'FRANCE', 'america', 'WHO', 'COVID2019', 'NEWS']",13115
2020-03-26 02:19:52,"b'WATCH: Video shows #children are not safe from COVID-19   Based on available evidence, children are also at higher risk for #coronavirus    Please stay at home\xf0\x9f\x8c\xbb  #BREAKING #school #covid19australia #CoronavirusLockdown #corona #virus #italy #italia #FRANCE  #america  #Australia https://t.co/mCwQIBkK4c'",b'kurdistannews24',"['children', 'coronavirus', 'BREAKING', 'school', 'covid19australia', 'CoronavirusLockdown', 'corona', 'virus', 'italy', 'italia', 'FRANCE', 'america', 'Australia']",13115
2020-03-26 02:16:40,b'The #MTA says crews will now clean #subway stations twice per day because of the #coronavirusoutbreak Are you using subways #COVID #COVID19 #italia #CoronavirusPandemic #CoronaInfoCH #coronavirus #coronaviruschina #CoronaVirusItaly #CoronaVirusIran #CoronavirusPandemic',b'julycio',"['MTA', 'subway', 'coronavirusoutbreak', 'COVID', 'COVID19', 'italia', 'CoronavirusPandemic', 'CoronaInfoCH', 'coronavirus', 'coronaviruschina', 'CoronaVirusItaly', 'CoronaVirusIran', 'CoronavirusPandemic']",4
2020-03-26 02:13:44,"b'Air balloons in Cappadocia, Turkey #COVID #TRAVEL #COVID19 #travelfabrics #China #travelle #wuhan #travelsocialclub #\xe5\x86\xa0\xe7\x8a\xb6\xe7\x97\x85\xe6\xaf\x92 #travelmasti #coronavirus #travelgermany #CoronavirusOutbreak #travellersquere #coronaviruschina #italia #italy #italie #italien'",b'julycio',"['COVID', 'TRAVEL', 'COVID19', 'travelfabrics', 'China', 'travelle', 'wuhan', 'travelsocialclub', '冠状病毒', 'travelmasti', 'coronavirus', 'travelgermany', 'CoronavirusOutbreak', 'travellersquere', 'coronaviruschina', 'italia', 'italy', 'italie', 'italien']",4
